Player,TEAM,AGE,MIN_2017,MIN_2018,GP,W,L,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST_x,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,Height_x,Weight_x,College_x,Country_x,Draft Year_x,Draft Round_x,Draft Number_x,Height_y,Weight_y,College_y,Country_y,Draft Year_y,Draft Round_y,Draft Number_y,Box Outs,OFF Box Outs,DEF Box Outs,Team RebOn Box Outs,Player RebOn Box Outs,% Box Outs Off,% Box Outs Def,% Team RebWhen Box Out,% Player RebWhen Box Out,ContestedREB,ContestedREB%,REBChances,REBChance%,DeferredREB Chances,AdjustedREB Chance%,AVG REBDistance,PassesMade,PassesReceived,AST_y,SecondaryAST,PotentialAST,AST PTSCreated,AST PTSCreated,AST PTSCreated,AST PTSCreated,ASTAdj,AST ToPass%,AST ToPass% Adj,ScreenAssists,ScreenAssists PTS,Deflections,OFF Loose BallsRecovered,DEF Loose BallsRecovered,Loose BallsRecovered,% Loose BallsRecovered OFF,% Loose BallsRecovered DEF,ChargesDrawn,Contested2PT Shots,Contested3PT Shots,ContestedShots,FGM_und_5ft,FGA_und_5ft,FG%_und_5ft,FGM_5_9ft,FGA_5_9ft,FG%_5_9ft,FGM_10_14ft,FGA_10_14ft,FG%_10_14ft,FGM_15_19ft,FGA_15_19ft,FG%_15_19ft,FGM_20_24ft,FGA_20_24ft,FG%_20_24ft,FGM_25_29ft,FGA_25_29ft,FG%_25_29ft,OPP_FGM_und_5ft,OPP_FGA_und_5ft,OPP_FG%_und_5ft,OPP_FGM_5_9ft,OPP_FGA_5_9ft,OPP_FG%_5_9ft,OPP_FGM_10_14ft,OPP_FGA_10_14ft,OPP_FG%_10_14ft,OPP_FGM_15_19ft,OPP_FGA_15_19ft,OPP_FG%_15_19ft,OPP_FGM_20_24ft,OPP_FGA_20_24ft,OPP_FG%_20_24ft,OPP_FGM_25_29ft,OPP_FGA_25_29ft,OPP_FG%_25_29ft,DEFRTG,NETRTG,AST%,OREB%,DREB%,REB%,eFG%,TS%,USG%,PACE,PIE_2017,PIE_2018
Aaron Brooks,MIN,33,5.9,,32,19,13,2.3,0.9,2.2,40.6,0.3,1.0,35.5,0.3,0.3,72.7,0.2,0.3,0.5,0.6,0.3,0.2,0.0,0.9,4.1,0,0,-2.3,6-0,161,Oregon,USA,2007,1,26,6-0,161,Oregon,USA,2007,1,26,0.2,0.0,0.2,0.1,0.0,0.0,100,75.0,25.0,0.1,17.6,1.1,47.2,0.2,56.7,11.5,9.0,10.5,0.6,0.0,1.3,,1.5,,1.5,0.7,7.0,7.3,0.0,0.1,0.3,0.1,0.1,0.2,57.1,42.9,0.03,0.6,0.9,1.5,0.3,0.6,46.7,0.1,0.3,25.0,0.3,0.5,55.6,0.1,0.2,75.0,0.2,0.4,54.5,0.2,0.7,26.3,2.6,3.6,72.4,0.2,0.8,27.3,0.6,1.2,47.8,0.5,1.1,44.4,1.6,3.4,48.8,0.8,2.3,32.8,115.7,-17.2,16.1,3.6,5.7,4.6,48.6,50.8,19.2,100.86,4.4,
Aaron Gordon,ORL,22,32.9,33.8,58,19,39,17.6,6.5,14.9,43.4,2.0,5.9,33.6,2.7,3.9,69.8,1.5,6.4,7.9,2.3,1.8,1.0,0.8,1.9,34.1,17,0,-1.6,6-9,220,Arizona,USA,2014,1,4,6-9,220,Arizona,USA,2014,1,4,2.7,0.2,2.5,1.3,0.4,7.0,93.0,85.2,23.9,2.6,33.5,13.6,58.1,0.7,61.1,6.0,40.2,32.5,2.3,0.2,4.6,,5.6,,5.6,2.7,5.8,6.6,0.9,1.9,1.4,0.5,0.7,1.2,42.9,57.1,0.07,4.7,1.8,6.5,3.2,4.9,66.7,0.2,0.9,20.0,0.4,1.2,35.7,0.5,1.8,29.8,0.7,2.1,35.3,1.4,4.1,33.5,14.4,22.8,63.2,2.3,6.1,37.1,2.2,5.1,42.4,2.5,5.9,42.4,3.7,9.3,40.3,3.8,11.1,33.9,108.3,-2.0,11.1,4.4,19.1,11.6,50.0,53.0,23.8,100.43,11.3,10.9
Aaron Harrison,DAL,23,25.9,,9,2,7,6.7,2.1,7.7,27.5,1.0,4.8,20.9,1.4,1.9,76.5,0.4,2.2,2.7,1.2,0.3,1.0,0.2,3.0,15.0,0,0,-8.0,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,6-6,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,0.8,0.0,0.8,0.7,0.0,0.0,100,85.7,0.0,0.3,12.5,4.7,57.1,0.2,60.0,11.0,19.6,21.1,1.2,0.0,2.8,,3.2,,3.2,1.2,6.3,6.3,0.1,0.3,2.0,0.2,0.7,0.9,25.0,75.0,0.00,3.3,3.2,6.6,0.6,1.0,55.6,0.1,0.2,50.0,0.1,0.4,25.0,0.3,1.1,30.0,0.4,2.6,17.4,0.6,2.3,23.8,9.9,14.3,69.0,1.9,5.3,35.4,1.8,2.7,66.7,2.4,4.7,52.4,2.9,8.7,33.3,3.2,8.4,38.2,112.2,-14.1,7.2,1.5,9.1,4.9,34.1,39.2,14.7,98.98,2.2,
Aaron Jackson,HOU,32,34.5,,1,0,1,8.0,3.0,9.0,33.3,1.0,4.0,25.0,1.0,2.0,50.0,2.0,1.0,3.0,1.0,1.0,0.0,0.0,4.0,12.1,0,0,-10.0,6-3,183,Duquesne,USA,Undrafted,Undrafted,Undrafted,6-3,183,Duquesne,USA,Undrafted,Undrafted,Undrafted,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,33.3,7.0,42.9,0.0,42.9,7.8,49.0,51.0,1.0,0.0,9.0,,3.0,,3.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,1.0,4.0,25.0,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,0.0,16.0,24.0,66.7,2.0,7.0,28.6,1.0,3.0,33.3,1.0,4.0,25.0,6.0,11.0,54.5,2.0,9.0,22.2,107.8,-19.8,5.3,5.6,3.1,4.4,38.9,40.5,14.9,91.13,-1.0,
Abdel Nader,BOS,24,10.9,11.4,48,33,15,3.0,1.0,3.1,33.6,0.5,1.4,35.4,0.5,0.8,59.0,0.3,1.2,1.5,0.5,0.7,0.3,0.2,0.9,6.5,0,0,-2.3,6-6,230,Iowa State,Egypt,2016,2,58,6-6,230,Iowa State,Egypt,2016,2,58,0.8,0.1,0.7,0.5,0.1,17.5,82.5,92.0,12.0,0.4,29.6,2.6,57.7,0.2,62.3,7.0,8.7,9.1,0.6,0.1,1.3,,1.5,,1.5,0.7,6.4,8.6,0.1,0.3,0.7,0.1,0.2,0.4,38.9,61.1,0.00,1.5,1.3,2.8,0.4,1.1,40.4,0.1,0.5,20.0,0.0,0.1,20.0,0.0,0.1,0.0,0.3,0.7,38.7,0.3,0.8,32.4,4.2,7.1,59.8,0.5,1.9,26.8,0.6,1.5,41.9,0.8,1.9,42.2,1.3,3.0,43.1,1.7,4.2,39.8,107.3,-10.3,7.8,2.4,11.1,6.7,41.3,43.9,16.2,100.46,3.3,6.6
Adreian Payne,ORL,27,8.5,,5,0,5,4.2,1.4,2.0,70.0,0.4,0.6,66.7,1.0,1.2,83.3,0.4,1.4,1.8,0.0,0.4,0.4,0.0,1.2,7.2,0,0,-2.6,6-10,237,Michigan State,USA,2014,1,15,6-10,237,Michigan State,USA,2014,1,15,2.2,0.8,1.4,1.6,0.4,36.4,63.6,100,25.0,0.6,33.3,3.2,56.3,0.0,56.3,4.6,10.0,6.6,0.0,0.0,0.2,,0.0,,0.0,0.0,0.0,0.0,0.4,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.00,1.2,0.2,1.4,0.4,0.4,100,0.3,0.3,100,0.0,0.0,0.0,0.3,0.5,50.0,1.0,1.3,75.0,0.0,0.3,0.0,4.0,4.8,83.3,0.3,1.0,25.0,1.0,2.0,50.0,0.8,2.0,37.5,1.3,3.3,40.0,2.3,4.5,50.0,115.9,-12.4,0.0,4.4,22.6,11.8,80.0,83.1,15.5,98.15,12.0,
Al Horford,BOS,32,31.6,29.0,72,47,25,12.9,5.1,10.5,48.9,1.3,3.1,42.9,1.3,1.7,78.3,1.4,5.9,7.4,4.7,1.8,0.6,1.1,1.9,32.0,15,0,4.8,6-10,245,Florida,Dominican Rep...,2007,1,3,6-10,245,Florida,Dominican Rep...,2007,1,3,6.8,0.5,6.3,3.5,1.3,7.3,92.7,90.4,33.3,2.5,33.9,12.7,57.8,0.6,60.6,6.4,48.9,42.9,4.7,0.3,8.0,,11.7,,11.7,5.1,9.5,10.4,2.7,6.5,1.3,0.4,0.4,0.8,52.6,47.4,0.00,8.8,3.5,12.3,1.9,2.9,67.5,0.8,1.9,40.7,0.5,1.4,37.3,0.4,0.9,49.2,0.5,1.2,39.5,1.0,2.2,44.1,11.5,19.2,59.8,1.8,5.4,33.9,1.8,4.9,36.0,2.4,6.6,35.7,3.4,8.3,41.2,3.5,11.8,29.8,101.6,7.3,22.5,4.7,17.8,11.5,55.3,57.5,18.3,97.23,13.4,13.4
Al Jefferson,IND,33,13.4,,36,17,19,7.0,3.1,5.8,53.4,0.0,0.1,0.0,0.8,1.0,83.3,0.8,3.1,4.0,0.8,0.6,0.4,0.6,1.8,15.7,1,0,-0.3,6-10,280,None,USA,2004,1,15,6-10,280,None,USA,2004,1,15,3.0,0.2,2.8,1.6,0.7,6.5,93.5,93.7,38.1,1.7,42.0,7.5,53.2,0.4,55.9,4.5,19.7,15.6,0.8,0.1,1.6,,1.9,,1.9,1.0,4.2,5.1,1.4,2.9,0.9,0.1,0.3,0.3,25.0,75.0,0.06,4.2,0.6,4.8,1.3,2.0,61.6,0.7,1.4,51.0,0.7,1.1,63.2,0.5,1.2,39.0,0.0,0.2,16.7,0.0,0.0,0.0,4.9,7.4,65.9,1.1,2.3,46.8,1.0,2.7,38.7,1.3,2.9,45.0,0.9,3.1,30.8,2.0,5.9,34.6,107.2,-1.8,9.8,6.1,22.7,14.4,53.4,56.3,21.8,98.07,13.5,
Al-Farouq Aminu,POR,27,30.0,28.3,69,40,29,9.3,3.3,8.4,39.5,1.8,4.9,36.9,0.9,1.2,73.8,1.4,6.2,7.6,1.2,1.1,1.1,0.6,2.0,24.3,9,0,3.2,6-9,220,Wake Forest,USA,2010,1,8,6-9,220,Wake Forest,USA,2010,1,8,3.9,0.6,3.3,1.9,0.9,16.2,83.8,88.5,40.5,2.2,29.1,12.9,59.2,0.7,62.4,5.9,25.0,19.1,1.2,0.2,2.6,,3.1,,3.1,1.6,4.9,6.3,1.5,3.5,2.2,0.5,0.7,1.2,42.4,57.6,0.00,5.7,3.0,8.7,1.2,2.1,58.9,0.2,0.7,24.5,0.0,0.2,16.7,0.0,0.4,11.1,1.0,2.5,41.3,0.8,2.6,31.8,10.3,19.0,54.1,2.3,5.3,43.3,2.1,5.3,38.5,2.6,5.9,43.6,3.5,9.0,39.5,3.4,9.1,36.8,104.4,5.2,5.6,4.5,19.8,12.1,50.3,52.2,14.5,98.47,9.0,9.7
Alan Williams,PHX,25,14.1,5.1,5,1,4,4.0,1.4,3.6,38.9,0.0,0.0,0.0,1.2,1.8,66.7,0.6,3.8,4.4,1.6,1.4,1.0,0.2,2.6,13.9,0,0,0.2,6-8,265,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,6-8,265,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,3.4,0.4,3.0,1.4,0.6,11.8,88.2,87.5,37.5,1.2,27.3,9.6,45.8,0.0,45.8,4.0,17.6,15.6,1.6,0.0,3.0,,5.6,,5.6,2.0,9.1,11.4,1.8,4.0,1.0,0.0,0.2,0.2,0.0,100,0.00,1.2,1.0,2.2,0.8,1.4,57.1,0.6,1.6,37.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,9.4,44.7,1.0,2.2,45.5,0.8,1.6,50.0,0.8,2.2,36.4,1.2,2.2,54.5,1.4,5.2,26.9,90.8,0.1,19.5,3.9,26.0,14.8,38.9,45.5,18.4,97.25,8.9,27.4
